written 0 rows (0 ms)
written 8000 rows  (1594 ms)
written 16000 rows  (1254 ms)
written 24000 rows  (1036 ms)
written 32000 rows  (988 ms)
written 40000 rows  (1030 ms)
written 48000 rows  (1196 ms)
written 56000 rows  (1220 ms)
written 64000 rows  (1006 ms)
written 72000 rows  (1091 ms)
written 80000 rows  (1549 ms)
written 88000 rows  (975 ms)
written 96000 rows  (998 ms)
written 104000 rows  (983 ms)
written 112000 rows  (1576 ms)
written 120000 rows  (1273 ms)
written 128000 rows  (888 ms)
written 136000 rows  (1109 ms)
written 144000 rows  (1166 ms)
written 152000 rows  (1599 ms)
written 160000 rows  (1510 ms)
written 168000 rows  (1284 ms)
written 176000 rows  (1429 ms)
written 184000 rows  (1440 ms)
written 192000 rows  (1541 ms)
written 200000 rows  (1185 ms)
written 208000 rows  (1744 ms)
written 216000 rows  (1429 ms)
written 224000 rows  (1013 ms)
written 232000 rows  (1765 ms)
written 240000 rows  (1263 ms)
written 248000 rows  (1016 ms)
written 256000 rows  (1002 ms)
written 264000 rows  (1005 ms)
written 272000 rows  (1145 ms)
written 280000 rows  (1742 ms)
written 288000 rows  (1941 ms)
written 296000 rows  (1025 ms)
written 304000 rows  (1304 ms)
written 312000 rows  (1149 ms)
written 320000 rows  (1086 ms)
written 328000 rows  (1005 ms)
written 336000 rows  (1473 ms)
written 344000 rows  (1089 ms)
written 352000 rows  (1220 ms)
written 360000 rows  (1082 ms)
written 368000 rows  (1612 ms)
written 376000 rows  (1022 ms)
written 384000 rows  (1998 ms)
written 392000 rows  (1016 ms)
written 400000 rows  (1099 ms)
written 408000 rows  (2592 ms)
written 416000 rows  (1085 ms)
written 424000 rows  (1262 ms)
written 432000 rows  (1362 ms)
written 440000 rows  (1513 ms)
written 448000 rows  (1122 ms)
written 456000 rows  (1023 ms)
written 464000 rows  (1142 ms)
written 472000 rows  (1071 ms)
written 480000 rows  (2329 ms)
written 488000 rows  (3110 ms)
written 496000 rows  (1474 ms)
written 504000 rows  (1798 ms)
written 512000 rows  (1805 ms)
written 520000 rows  (1443 ms)
written 528000 rows  (1504 ms)
written 536000 rows  (1396 ms)
written 544000 rows  (1451 ms)
written 552000 rows  (1487 ms)
written 560000 rows  (1606 ms)
written 568000 rows  (1064 ms)
written 576000 rows  (1217 ms)
written 584000 rows  (1050 ms)
written 592000 rows  (1177 ms)
written 600000 rows  (1015 ms)
written 608000 rows  (1089 ms)
written 616000 rows  (1377 ms)
written 624000 rows  (1225 ms)
written 632000 rows  (1151 ms)
written 640000 rows  (987 ms)
written 648000 rows  (1378 ms)
written 656000 rows  (1070 ms)
written 664000 rows  (1023 ms)
written 672000 rows  (1001 ms)
written 680000 rows  (1384 ms)
written 688000 rows  (1324 ms)
written 696000 rows  (1053 ms)
written 704000 rows  (2537 ms)
written 712000 rows  (2557 ms)
written 720000 rows  (2074 ms)
written 728000 rows  (2260 ms)
written 736000 rows  (1107 ms)
written 744000 rows  (1509 ms)
written 752000 rows  (1220 ms)
written 760000 rows  (1127 ms)
written 768000 rows  (1016 ms)
written 776000 rows  (1118 ms)
written 784000 rows  (1030 ms)
written 792000 rows  (993 ms)
written 800000 rows  (1028 ms)
written 808000 rows  (1259 ms)
written 816000 rows  (1361 ms)
written 824000 rows  (1147 ms)
written 832000 rows  (1120 ms)
written 840000 rows  (1289 ms)
written 848000 rows  (1272 ms)
written 856000 rows  (995 ms)
written 864000 rows  (1007 ms)
written 872000 rows  (1382 ms)
written 880000 rows  (1006 ms)
written 888000 rows  (1024 ms)
written 896000 rows  (2294 ms)
written 904000 rows  (1227 ms)
written 912000 rows  (996 ms)
written 920000 rows  (1126 ms)
written 928000 rows  (1198 ms)
written 936000 rows  (1650 ms)
written 944000 rows  (1122 ms)
written 952000 rows  (1688 ms)
written 960000 rows  (1129 ms)
written 968000 rows  (992 ms)
written 976000 rows  (1730 ms)
written 984000 rows  (1573 ms)
written 992000 rows  (2575 ms)
written 1000000 rows  (4393 ms)
written 1008000 rows  (2711 ms)
written 1016000 rows  (3053 ms)
written 1024000 rows  (4762 ms)
written 1032000 rows  (5871 ms)
written 1040000 rows  (4956 ms)
written 1048000 rows  (4984 ms)
written 1056000 rows  (2602 ms)
written 1064000 rows  (1461 ms)
written 1072000 rows  (1143 ms)
written 1080000 rows  (1660 ms)
written 1088000 rows  (1534 ms)
written 1096000 rows  (1062 ms)
written 1104000 rows  (1036 ms)
written 1112000 rows  (2874 ms)
written 1120000 rows  (1521 ms)
written 1128000 rows  (1321 ms)
written 1136000 rows  (1030 ms)
